job_id,title,company,location,experience_level,experience_years,salary_lpa,company_rating,skills
IND2025000,Android Developer,Tech Mahindra,Remote,Senior,6.5,30.9,4.0,Kotlin;Java;Rest Apis
IND2025001,QA Engineer,Dream11,Lucknow,Senior,6.5,48.0,4.0,Selenium;Manual Testing;Postman;Api Testing;Python
IND2025002,Business Analyst,HAL,Remote,Senior,6.5,18.4,3.6,Jira;Excel;Power Bi
IND2025003,Cybersecurity Analyst,Groww,Mumbai,Mid,3.5,21.7,3.5,Penetration Testing;Python;Ethical Hacking;Siem;Network Security
IND2025004,Python Developer,Oracle,Remote,Mid,3.5,8.0,3.9,Docker;Rest Apis;Aws;Postgresql
IND2025005,Backend Developer,Nykaa,Indore,Mid,3.5,10.5,3.6,Java;Docker;Mongodb
IND2025006,Power BI Developer,PhonePe,Remote,Mid,3.5,18.0,3.4,Power Bi;Sql;Excel;Dax;Data Modeling
IND2025007,Business Analyst,Cisco,Pune,Mid,3.5,11.7,4.3,Agile;Power Bi;Requirements Gathering
IND2025008,Java Developer,HCL Technologies,Remote,Entry,3.5,5.3,4.3,Rest Apis;Hibernate;Maven;Spring Boot
IND2025009,Technical Lead,Chargebee,Delhi,Mid,3.5,12.2,2.7,Microservices;System Design;Team Leadership;Code Review
IND2025010,QA Engineer,Infosys,Remote,Entry,3.5,4.5,3.7,Python;Postman;Api Testing;Selenium;Jira;Manual Testing
IND2025011,UI/UX Designer,Hasura,Hyderabad,Mid,3.5,4.5,3.8,Wireframing;Adobe Xd;User Research;Prototyping
IND2025012,Data Analyst,ISRO,Remote,Entry,3.5,4.5,3.3,Sql;Tableau;Power Bi;Statistics;Excel;Python
IND2025013,Software Engineer,Google,Pune,Mid,3.5,8.3,3.4,Python;Git;Rest Apis
IND2025014,Machine Learning Engineer,BHEL,Lucknow,Mid,3.5,11.6,3.5,Docker;Tensorflow;Pytorch;Scikit-Learn
IND2025015,Python Developer,Cognizant,Bhubaneswar,Mid,3.5,48.0,3.5,Django;Fastapi;Docker
IND2025016,Power BI Developer,BrowserStack,Remote,Mid,3.5,10.1,3.6,Etl;Data Modeling;Dax
IND2025017,QA Engineer,BrowserStack,Bangalore,Entry,3.5,5.9,4.2,Python;Postman;Api Testing;Jira;Selenium
IND2025018,Data Engineer,Setu,Remote,Entry,3.5,5.7,3.9,Airflow;Aws;Spark;Python;Kafka
IND2025019,Software Engineer,BSNL,Remote,Senior,6.5,16.1,3.4,Algorithms;Python;System Design;Java
IND2025020,Java Developer,CRED,Remote,Mid,3.5,13.2,4.2,Microservices;Rest Apis;Maven;Hibernate;Sql
IND2025021,Backend Developer,CRED,Chennai,Mid,3.5,4.5,4.0,Django;Fastapi;Node.Js;Postgresql;Docker;Mongodb
IND2025022,Software Engineer,Byju's,Remote,Mid,3.5,21.8,4.0,Git;System Design;C++;Algorithms;Python
IND2025023,Node.js Developer,Lenskart,Remote,Mid,3.5,10.4,3.5,Rest Apis;Express.Js;Typescript;Mongodb;Node.Js;Javascript
IND2025024,Java Developer,Hasura,Remote,Entry,3.5,5.7,4.0,Hibernate;Rest Apis;Maven;Spring Boot;Microservices;Sql
IND2025025,Node.js Developer,Khatabook,Hyderabad,Mid,3.5,4.5,4.2,Rest Apis;Express.Js;Typescript
IND2025026,Computer Vision Engineer,BrowserStack,Remote,Mid,3.5,11.2,3.5,Tensorflow;Yolo;Opencv;Deep Learning;Pytorch
IND2025027,Node.js Developer,Wipro,Pune,Entry,3.5,5.1,4.2,Express.Js;Rest Apis;Javascript
IND2025028,MLOps Engineer,Razorpay,Hyderabad,Senior,6.5,48.0,4.0,Airflow;Kubernetes;Mlflow;Ci/Cd
IND2025029,DevOps Engineer,Cognizant,Remote,Mid,3.5,43.0,3.6,Jenkins;Docker;Ansible;Aws;Linux;Ci/Cd
IND2025030,Python Developer,Lenskart,Remote,Entry,3.5,6.1,3.4,Aws;Python;Django
IND2025031,Product Manager,HCL Technologies,Delhi,Senior,6.5,28.0,3.6,Jira;Product Strategy;User Research;Roadmapping
IND2025032,Technical Lead,Deloitte,Remote,Entry,3.5,4.5,4.2,Team Leadership;Code Review;Agile
IND2025033,Java Developer,Accenture,Kochi,Mid,3.5,22.7,4.1,Hibernate;Sql;Maven;Microservices;Spring Boot;Java
IND2025034,Data Engineer,Urban Company,Remote,Entry,3.5,7.4,4.0,Python;Sql;Spark;Etl;Aws
IND2025035,Android Developer,Zoho,Delhi,Mid,3.5,14.6,4.0,Jetpack Compose;Rest Apis;Android Sdk;Java;Firebase
IND2025036,Frontend Developer,Leadsquared,Jaipur,Mid,3.5,10.1,3.1,React;Javascript;Typescript;Tailwind Css;Html/Css
IND2025037,Data Analyst,Tech Mahindra,Kolkata,Mid,3.5,4.5,3.9,Tableau;Power Bi;Excel;Sql;Python;Statistics
IND2025038,Data Analyst,Deloitte,Remote,Mid,3.5,48.0,3.7,Data Visualization;Python;Tableau;Statistics
